code,name,market,sectorName,tradePrice,marketCap,per,sectorPer,pbr,roe,debt_pct,op_margin,vol_mult,vol_mult_max5,amt_avg20,ret_60d,ret_6m,off_high_pct,foreignRatio,total,signal,naver_url,s_per,s_sector,s_pbr,s_roe,s_opm,s_debt,s_vol,s_amt,s_size,s_dip
027360,아주IB투자,KOSDAQ,,3185.0,385848118110,43.21,13.8777,1.36,3.1432420296362817,24.234,40.20972928113667,0.3444281391906856,0.3532877472244078,16756514838.3,-64.53229398663697,-28.747203579418347,-84.03508771929825,0.0831115792,44.3,,https://finance.naver.com/item/main.naver?code=027360,0.0,0.0,4.592,0.0,10.0,8.0,0.0,8.735312203634251,8.0,5.0
136480,하림,KOSDAQ,,2650.0,281455710300,7.27,34.47767,0.86,11.843393148450245,169.477,4.064169762088339,0.5185055759158873,0.7911248367412015,613315446.55,-4.504504504504503,-16.271721958925756,-25.66619915848527,0.0509387551,44.2,,https://finance.naver.com/item/main.naver?code=136480,10.540909090909091,8.0,5.992000000000001,4.106035889070148,0.6259822129931404,1.4363764705882351,0.0,1.5528132397702876,10.0,1.9582748948106588
126720,수산인더스트리,KOSPI,,21200.0,302863200000,6.09,-39.00217,0.54,8.887468030690538,23.014000000000003,6.330118204850583,0.5008702332225037,0.9733168489155094,457101001.25,-10.924369747899156,-25.483304042179267,-41.75824175824175,0.0273170237,44.2,,https://finance.naver.com/item/main.naver?code=126720,12.15,0.0,6.888,2.3324808184143233,1.9588930616768139,8.0,0.0,0.9144545893225686,8.0,3.969780219780219
014830,유니드,KOSPI,,64800.0,438540480000,6.58,-31.96432,0.4,6.032118114150011,42.625,6.0631035225079,1.1575420889699335,1.5342860777744796,750283452.5,-2.9940119760479056,-21.45454545454546,-36.22047244094488,0.1233542172,44.2,,https://finance.naver.com/item/main.naver?code=014830,11.481818181818182,0.0,7.0,0.6192708684900066,1.8018256014752354,7.405882352941177,2.671430388872398,1.9905205673611093,8.0,3.27755905511811
033240,자화전자,KOSPI,,30600.0,661128361200,12.24,-312.01702,1.29,10.542349411493191,67.795,9.545197884910182,1.7895994022008717,1.7895994022008717,3434377493.75,-9.867452135493371,-27.915194346289752,-49.0,0.126928687,44.1,,https://finance.naver.com/item/main.naver?code=033240,3.7636363636363637,0.0,4.787999999999999,3.325409646895915,3.850116402888343,6.2214117647058815,3.947997011004358,5.293633873656969,8.0,4.875
035000,HS애드,KOSPI,,6580.0,106646297520,6.05,11.19181,0.5,8.195092118339577,126.877,3.66825662180706,0.6599283993963699,0.8739945246597224,360795852.25,-10.354223433242504,-25.056947608200453,-29.925452609158675,0.2295051644,44.0,,https://finance.naver.com/item/main.naver?code=035000,12.204545454545453,6.125681785758217,7.0,1.917055271003746,0.3930921304747412,3.4410823529411765,0.0,0.40070140740182225,10.0,2.4906815761448344
089890,코세스,KOSDAQ,,22200.0,368186156400,25.63,29.55114,4.57,17.84250269687163,69.988,30.88248011086544,0.3981610589868102,0.571933276252151,3240759135.0,-39.09465020576132,-13.450292397660824,-56.809338521400775,0.015928707,43.8,,https://finance.naver.com/item/main.naver?code=089890,0.0,1.7691996541137394,0.0,7.705501618122978,10.0,6.118211764705882,0.0,5.167627495836653,8.0,5.0
005750,대림바스,KOSPI,,4735.0,78564256400,5.81,-8.86151,0.46,7.950651130911583,89.101,8.187215067486397,0.3786953500846063,1.3818555453543468,314592392.9,8.352402745995423,-11.988847583643125,-26.589147286821703,0.0202119786,43.7,,https://finance.naver.com/item/main.naver?code=005750,12.531818181818183,0.0,7.0,1.7703906785469494,3.0513029808743513,5.218776470588235,1.9092777267717345,0.10313481050337359,10.0,2.073643410852713
253590,네오셈,KOSDAQ,,11290.0,495282861560,88.41,29.55114,3.97,4.491978609625669,35.658,31.71403730826557,0.7203898538212982,2.416992332856993,5358459109.25,-8.951612903225802,-38.90692640692641,-47.242990654205606,0.0,43.7,,https://finance.naver.com/item/main.naver?code=253590,0.0,0.0,0.0,0.0,10.0,7.733741176470588,7.0849616642849655,6.259593331060396,8.0,4.655373831775701
092870,엑시콘,KOSDAQ,,32650.0,426108522050,42.38,29.55114,2.01,4.7316524386208725,23.597,13.139753426350318,1.4081284215240868,3.0662729195333887,8003607008.75,30.079681274900395,-1.8045112781954864,-21.702637889688248,0.0481866357,43.7,,https://finance.naver.com/item/main.naver?code=092870,0.0,0.0,2.7720000000000007,0.0,5.964560839029599,8.0,10.331364597666944,7.130822505706913,8.0,1.462829736211031
017900,광전자,KOSPI,,7070.0,409662404410,80.94,243.40487,1.44,1.7767558528428091,8.436,3.536558201667095,0.119295025012857,0.1714956223249786,32131832319.5,-18.360277136258663,247.42014742014743,-68.50779510022271,0.1785194897,43.7,,https://finance.naver.com/item/main.naver?code=017900,0.0,8.0,4.368,0.0,0.31562247156887935,8.0,0.0,10.0,8.0,5.0
